vid_name,Encoding,Data(KB)
DivingS,FoV+QL1,87626
DivingF,FoV+QL1,93324
RhinoS,FoV+QL1,57600
RhinoF,FoV+QL1,56832
RollerS,FoV+QL1,63384
RollerF,FoV+QL1,63042
RollerS,FoV+QL2,46577
RollerF,FoV+QL2,49305
DivingS,FoV+QL2,62631
DivingF,FoV+QL2,66633
RhinoS,FoV+QL2,42560
RhinoF,FoV+QL2,40707
RollerS,FoV,24282
RollerF,FoV,31235
DivingS,FoV,35420
DivingF,FoV,37576
RhinoS,FoV,26880
RhinoF,FoV,23900
RollerS,CoRE,23800
DivingS,CoRE,21000
RhinoS,CoRE,9800
RollerF,CoRE,23800
DivingF,CoRE,21000
RhinoF,CoRE,9800
